"team";"verdi_meanteam";"id";"web_name";"first_name";"second_name";"element_type";"now_cost";"selected_by_percent";"status";"navn";"posisjon";"team_navn";"Spiller";"Lag";"Posisjon";"Pris";"Kamper";"Mal";"Assist";"Cleen sheet";"CC_p";"M<e5>l_p";"Ass_p";"Kamp_p";"Poeng";"P / kamp";"P / mill";"mer_info";"as.factor(mer_info)";"now_cost_norm";"selected_norm";"verdi";"poeng_norm";"verdi_poengjustert";"verdi_meanteam_norm";"verdi_teamjustert";"solution"
1;0,164248374930895;1;"Lie";"Andreas";"Lie";1;45;5,1;"a";"Andreas Lie";"Keeper";"AAFK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;98,0666666666667;NA;NA;"ikke-vg-data";"ikke-vg-data";0,0588235294117647;0,109409190371991;0,084116359891878;0,632407407407407;0,193774569394984;0,222562838141295;0,221463865044867;0
1;0,164248374930895;2;"Vestly Heigre";"Pål";"Vestly Heigre";1;45;0,6;"a";"Pål Vestly Heigre";"Keeper";"AAFK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,5;NA;NA;"ikke-vg-data";"ikke-vg-data";0,0588235294117647;0,0109409190371991;0,0348822242244819;0,336805555555556;0,0952668904906967;0,222562838141295;0,132803013274059;0
1;0,164248374930895;3;"Sødergren";"Sondre";"Sødergren";1;40;3,9;"a";"Sondre Sødergren";"Keeper";"AAFK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;98,0666666666667;NA;NA;"ikke-vg-data";"ikke-vg-data";0;0,0831509846827134;0,0415754923413567;0,632407407407407;0,159741875354567;0,222562838141295;0,195939344514554;0
1;0,164248374930895;4;"Ramsteijn";"Kaj";"Ramsteijn";2;50;1,9;"a";"Kaj Ramsteijn";"Forsvar";"AAFK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,5;NA;NA;"ikke-vg-data";"ikke-vg-data";0,117647058823529;0,0393873085339169;0,0785171836787231;0,336805555555556;0,13017485805409;0,222562838141295;0,158983988946604;0
1;0,164248374930895;5;"Lie";"Oddbjørn";"Lie";2;45;2,2;"a";"Oddbjørn Lie";"Forsvar";"AAFK";"Oddbj<f8>rn<U+00A0>Lie";"Aalesund";"f";4,5;26;1;1;7;24;6;3;52;85;3,3;18,9;"vg-data";"vg-data";0,0588235294117647;0,0459518599562363;0,0523876946840005;0,541666666666667;0,150243489080534;0,222562838141295;0,184278517771993;0
1;0,164248374930895;6;"Kirkeskov";"Mikkel";"Kirkeskov";2;55;3,3;"a";"Mikkel Kirkeskov";"Forsvar";"AAFK";"Mikkel<U+00A0>Kirkeskov";"Aalesund";"f";5,5;29;2;3;7;27;12;9;58;106;3,7;19,3;"vg-data";"vg-data";0,176470588235294;0,0700218818380744;0,123246235036684;0,6875;0,236096988029347;0,222562838141295;0,25596030865027;0
1;0,164248374930895;7;"Mäntylä";"Tero";"Mäntylä";2;45;0,6;"a";"Tero Mäntylä";"Forsvar";"AAFK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,5;NA;NA;"ikke-vg-data";"ikke-vg-data";0,0588235294117647;0,0109409190371991;0,0348822242244819;0,336805555555556;0,0952668904906967;0,222562838141295;0,132803013274059;0
1;0,164248374930895;8;"Arnarson";"Adam";"Arnarson";2;45;1,5;"a";"Adam Arnarson";"Forsvar";"AAFK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,5;NA;NA;"ikke-vg-data";"ikke-vg-data";0,0588235294117647;0,0306345733041576;0,0447290513579611;0,336805555555556;0,10314435219748;0,222562838141295;0,138711109554147;0
1;0,164248374930895;9;"Grétarsson";"Daníel";"Grétarsson";2;50;1,1;"a";"Daníel Grétarsson";"Forsvar";"AAFK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,5;NA;NA;"ikke-vg-data";"ikke-vg-data";0,117647058823529;0,0218818380743983;0,0697644484489638;0,336805555555556;0,123172669870282;0,222562838141295;0,153732347808748;0
1;0,164248374930895;10;"Barstad";"Joakim";"Barstad";2;40;4,6;"a";"Joakim Barstad";"Forsvar";"AAFK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;98,0666666666667;NA;NA;"ikke-vg-data";"ikke-vg-data";0;0,0984682713347921;0,0492341356673961;0,632407407407407;0,165868790015398;0,222562838141295;0,200534530510178;0
1;0,164248374930895;11;"Valderhaug";"Lars";"Valderhaug";2;40;1,4;"a";"Lars Valderhaug";"Forsvar";"AAFK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,5;NA;NA;"ikke-vg-data";"ikke-vg-data";0;0,0284463894967177;0,0142231947483589;0,336805555555556;0,0787396669097982;0,222562838141295;0,120407595588385;0
1;0,164248374930895;12;"Riise";"Bjørn Helge";"Riise";3;60;7,1;"a";"Bjørn Helge Riise";"Midtbane";"AAFK";"Bj<f8>rn<U+00A0>Helge<U+00A0>Riise";"Aalesund";"m";6;24;2;2;7;6;10;6;48;70;2,9;11,7;"vg-data";"vg-data";0,235294117647059;0,153172866520788;0,194233492083923;0,4375;0,242886793667139;0,222562838141295;0,248552662878613;0
