"id";"kickoff_time";"kickoff_time_formatted";"team_h_score";"team_a_score";"was_home";"round";"total_points";"value";"transfers_balance";"selected";"transfers_in";"transfers_out";"loaned_in";"loaned_out";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element";"fixture";"opponent_team";"id_player";"dato"
1;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;3;45;0;2980;0;0;0;0;90;0;0;0;3;0;0;0;0;6;0;0;1;5;12;1;2017-04-08
431;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;2;45;162;3567;252;90;0;0;90;0;0;0;3;0;0;0;0;4;0;0;1;9;10;1;2017-04-08
2;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;45;0;373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;12;2;2017-04-08
432;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;0;45;-22;373;3;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;10;2;2017-04-08
3;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;40;0;2317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;12;3;2017-04-08
433;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;0;40;-33;2438;21;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9;10;3;2017-04-08
4;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;1;50;0;1079;0;0;0;0;90;0;0;0;3;0;0;0;0;0;0;0;4;5;12;4;2017-04-08
434;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;1;50;-56;1106;12;68;0;0;90;0;0;0;3;0;0;0;0;0;0;0;4;9;10;4;2017-04-08
5;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;45;0;1299;0;0;0;0;90;0;0;0;3;0;0;1;0;0;0;0;5;5;12;5;2017-04-08
435;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;1;45;-74;1331;10;84;0;0;90;0;0;0;3;0;0;0;0;0;0;0;5;9;10;5;2017-04-08
6;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;1;55;0;1932;0;0;0;0;90;0;0;0;3;0;0;0;0;0;0;0;6;5;12;6;2017-04-08
436;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;1;55;-129;1952;18;147;0;0;90;0;0;0;3;0;0;0;0;0;0;0;6;9;10;6;2017-04-08
7;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;45;0;340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5;12;7;2017-04-08
437;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;0;45;-32;329;2;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;10;7;2017-04-08
