"team";"verdi_meanteam";"id";"web_name";"first_name";"second_name";"element_type";"now_cost";"selected_by_percent";"status";"navn";"posisjon";"team_navn";"Spiller";"Lag";"Posisjon";"Pris";"Kamper";"Mal";"Assist";"Cleen sheet";"CC_p";"M<e5>l_p";"Ass_p";"Kamp_p";"Poeng";"P / kamp";"P / mill";"mer_info";"as.factor(mer_info)";"now_cost_norm";"selected_norm";"verdi";"poeng_norm";"verdi_poengjustert";"verdi_meanteam_norm";"verdi_teamjustert";"solution"
2;0,232720391317285;29;"Nouri";"Amin";"Nouri";2;55;6,7;"a";"Amin Nouri";"Forsvar";"BRA";"Amin<U+00A0>Nouri";"Brann";"f";5,5;30;NA;3;12;48;0;9;60;117;3,9;21,3;"vg-data";"vg-data";0,176470588235294;0,144420131291028;0,160445359763161;0,763888888888889;0,281134065588307;0,518259383486762;0,352696870333027;1
2;0,232720391317285;31;"Kristiansen";"Ruben";"Kristiansen";2;55;5;"a";"Ruben Kristiansen";"Forsvar";"BRA";"Ruben<U+00A0>Kristiansen";"Brann";"f";5,5;28;NA;3;12;45;0;9;56;110;3,9;20;"vg-data";"vg-data";0,176470588235294;0,107221006564551;0,141845797399923;0,715277777777778;0,256532193475494;0,518259383486762;0,331814910692862;1
2;0,232720391317285;41;"Heltne Nilsen";"Sivert";"Heltne Nilsen";3;55;4,2;"a";"Sivert Heltne Nilsen";"Midtbane";"BRA";"Sivert<U+00A0>Heltne<U+00A0>Nilsen";"Brann";"m";5,5;28;3;2;12;11;15;6;56;88;3,1;16;"vg-data";"vg-data";0,176470588235294;0,0897155361050328;0,133093062170163;0,5625;0,218974449736131;0,518259383486762;0,296007713999451;1
6;0,203909342377355;132;"Svendsen";"Sander";"Svendsen";3;85;14,7;"a";"Sander Svendsen";"Midtbane";"MOL";"Sander<U+00A0>Svendsen";"Molde";"m";8,5;25;4;4;9;8;20;12;50;90;3,6;10,6;"vg-data";"vg-data";0,529411764705882;0,319474835886214;0,424443300296048;0,576388888888889;0,454832418014617;0,393838808645768;0,44871151968456;1
6;0,203909342377355;143;"Hussain";"Etzaz";"Hussain";3;60;21,5;"a";"Etzaz Hussain";"Midtbane";"MOL";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;66,0909090909091;NA;NA;"ikke-vg-data";"ikke-vg-data";0,235294117647059;0,468271334792123;0,351782726219591;0,410353535353535;0,36349688804638;0,393838808645768;0,371908104531615;1
7;0,237674037260133;144;"Rossbach";"Sondre";"Rossbach";1;55;25,3;"a";"Sondre Rossbach";"Keeper";"ODD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;107;NA;NA;"ikke-vg-data";"ikke-vg-data";0,176470588235294;0,551422319474836;0,363946453855065;0,694444444444444;0,430046051972941;0,53965171380604;0,465187103963136;1
7;0,237674037260133;146;"Ruud";"Espen";"Ruud";2;65;38,8;"a";"Espen Ruud";"Forsvar";"ODD";"Espen<U+00A0>Ruud";"Odd";"f";6,5;29;5;8;10;39;30;24;58;151;5,2;23,2;"vg-data";"vg-data";0,294117647058824;0,846827133479212;0,570472390269018;1;0,656377912215214;0,53965171380604;0,650213776922619;1
7;0,237674037260133;154;"Gashi";"Ardian";"Gashi";3;45;8,4;"a";"Ardian Gashi";"Midtbane";"ODD";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;81;NA;NA;"ikke-vg-data";"ikke-vg-data";0,0588235294117647;0,181619256017506;0,120221392714635;0,513888888888889;0,198954891949486;0,53965171380604;0,282840956167767;1
8;0,344273102727376;169;"Hansen";"André";"Hansen";1;55;29,7;"a";"André Hansen";"Keeper";"RBK";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;107;NA;NA;"ikke-vg-data";"ikke-vg-data";0,176470588235294;0,647702407002188;0,412086497618741;0,694444444444444;0,468558086983882;1;0,586140787460134;1
8;0,344273102727376;184;"Midtsjø";"Fredrik";"Midtsjø";3;85;29,6;"a";"Fredrik Midtsjø";"Midtbane";"RBK";"Fredrik<U+00A0>Midtsj<f8>";"Rosenborg";"m";8,5;28;4;7;11;10;20;21;56;107;3,8;12,6;"vg-data";"vg-data";0,529411764705882;0,645514223194748;0,587462993950315;0,694444444444444;0,608859284049141;1;0,691366685259078;1
